"Senegal, Retail, Kaolack, Millet",,
Date-Monthly,Ipa series,Real Price
Nov-20,-0.12,195.36
Oct-20,0.53,231.61
Sep-20,0.14,218.01
Aug-20,-0.81,212.40
Jul-20,2.13,227.74
Jun-20,1.17,222.68
May-20,2.32,241.13
Apr-20,-0.91,180.44
Mar-20,0.31,194.13
Feb-20,0.65,194.31
Jan-20,1.23,194.58
Dec-19,1.59,207.54
Nov-19,0.94,197.90
Oct-19,0.81,188.28
Sep-19,0.34,188.10
Aug-19,1.18,199.72
Jul-19,0.64,180.51
Jun-19,0.31,177.29
May-19,0.34,174.32
Apr-19,1.45,170.68
Mar-19,1.12,165.51
Feb-19,0.89,161.69
Jan-19,0.60,152.01
Dec-18,-0.06,160.94
Nov-18,0.10,157.36
Oct-18,-0.87,145.30
Sep-18,-0.74,167.21
Aug-18,-0.49,160.94
Jul-18,-0.66,151.44
Jun-18,-0.75,155.48
May-18,-1.47,147.20
Apr-18,-2.57,136.00
Mar-18,-2.72,139.75
Feb-18,-1.77,137.54
Jan-18,-2.03,140.82
Dec-17,-1.52,165.85
Nov-17,-0.51,166.52
Oct-17,0.58,208.89
Sep-17,1.36,236.09
Aug-17,1.56,205.77
Jul-17,1.55,196.87
Jun-17,1.83,196.00
May-17,1.29,186.00
Apr-17,1.58,183.90
Mar-17,1.15,175.56
Feb-17,0.92,166.80
Jan-17,0.96,169.45
Dec-16,1.63,180.50
Nov-16,2.96,177.12
Oct-16,1.79,178.34
Sep-16,1.21,166.98
Aug-16,0.35,153.32
Jul-16,-0.21,152.97
Jun-16,-0.71,146.60
May-16,-0.48,146.63
Apr-16,-0.71,147.07
Mar-16,-1.18,137.53
Feb-16,-0.09,131.92
Jan-16,-0.21,138.19
Dec-15,-0.04,143.66
Nov-15,-1.57,121.41
Oct-15,-2.04,123.48
Sep-15,-1.79,131.49
Aug-15,-1.56,150.43
Jul-15,-1.62,161.94
Jun-15,-1.13,166.75
May-15,-1.95,161.25
Apr-15,-0.89,168.54
Mar-15,-0.24,164.68
Feb-15,-1.21,150.16
Jan-15,-1.44,156.67
Dec-14,-1.23,164.13
Nov-14,-0.84,164.87
Oct-14,0.25,190.64
Sep-14,0.00,190.22
Aug-14,-0.24,198.19
Jul-14,-1.45,190.13
Jun-14,-1.23,183.61
May-14,0.19,195.45
Apr-14,0.47,191.66
Mar-14,-0.55,177.91
Feb-14,-1.56,167.53
Jan-14,-0.70,174.61
Dec-13,-0.18,186.33
Nov-13,0.19,183.41
Oct-13,0.03,186.88
Sep-13,-0.35,194.21
Aug-13,-0.21,200.48
Jul-13,-0.76,197.08
Jun-13,-1.21,194.12
May-13,-0.58,191.10
Apr-13,0.13,184.89
Mar-13,0.23,180.93
Feb-13,-0.34,176.21
Jan-13,-0.53,177.86
Dec-12,-0.40,184.31
Nov-12,0.04,175.69
Oct-12,0.45,187.39
Sep-12,0.80,214.08
Aug-12,0.97,207.74
Jul-12,3.10,200.21
Jun-12,1.78,194.50
May-12,0.59,184.69
Apr-12,0.64,172.03
Mar-12,0.94,163.39
Feb-12,1.14,164.35
Jan-12,0.96,170.51
Dec-11,40.80,174.04
Nov-11,3.18,161.08
Oct-11,3.13,160.60
Sep-11,2.23,168.18
Aug-11,1.78,169.63
Jul-11,-0.41,159.12
Jun-11,1.48,155.88
May-11,0.80,158.39
Apr-11,0.07,147.14
Mar-11,-0.80,131.50
Feb-11,-0.13,130.78
Jan-11,0.59,138.07
Dec-10,0.93,136.78
Nov-10,0.37,120.39
Oct-10,-1.58,111.26
Sep-10,-0.93,121.57
Aug-10,-2.78,135.54
Jul-10,-10.85,164.15
Jun-10,-0.75,161.53
May-10,-3.78,157.10
Apr-10,-1.08,151.35
Mar-10,-1.51,143.86
Feb-10,-0.28,143.67
Jan-10,-0.11,147.65
Dec-09,,145.71
Nov-09,,135.87
Oct-09,,143.75
Sep-09,,158.53
Aug-09,,181.04
Jul-09,,191.51
Jun-09,,187.39
May-09,,182.03
Apr-09,,172.01
Mar-09,,164.92
Feb-09,,153.80
Jan-09,,152.69