Date-Monthly,"Senegal, Retail, Dakar, Rice (imported), CFA Franc BCEAO/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Dakar, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 ,"Senegal, Retail, Dakar, Sorghum, CFA Franc BCEAO-real/kg" Commodity Code: 1007 ,"Senegal, Retail, Dakar, Rice (imported), CFA Franc BCEAO-real/kg" Commodity Code: 100610_2 ,"Senegal, Retail, Dakar, Millet, CFA Franc BCEAO-real/kg" Commodity Code: 100820 ,"Senegal, Retail, Dakar, Sorghum, CFA Franc BCEAO/kg" Commodity Code: 1007 
Nov-20,350.00,290.00,170.07,305.25,252.92,195.00
Oct-20,350.00,325.00,212.38,305.90,284.05,243.00
Sep-20,350.00,284.00,208.37,306.43,248.65,238.00
Aug-20,348.00,288.00,188.70,305.43,252.77,215.00
Jul-20,345.00,270.00,195.46,309.33,242.09,218.00
Jun-20,346.00,277.00,209.10,313.20,250.74,231.00
May-20,350.00,296.00,206.81,316.09,267.32,229.00
Apr-20,,250.00,179.54,,224.42,200.00
Mar-20,345.00,238.00,176.90,312.97,215.91,195.00
Feb-20,345.00,250.00,,313.26,227.00,
Jan-20,350.00,275.00,171.95,316.75,248.88,190.00
Dec-19,350.00,250.00,176.72,317.19,226.57,195.00
Nov-19,350.00,275.00,197.90,314.84,247.37,220.00
Oct-19,350.00,263.00,186.48,313.79,235.79,208.00
Sep-19,350.00,283.00,202.50,315.00,254.70,225.00
Aug-19,350.00,250.00,203.34,316.30,225.93,225.00
Jul-19,350.00,241.00,191.57,322.35,221.96,208.00
Jun-19,350.00,238.00,184.68,323.19,219.77,200.00
May-19,350.00,238.00,,324.53,220.68,
Apr-19,350.00,238.00,,324.65,220.77,
Mar-19,350.00,238.00,185.97,325.44,221.30,200.00
Feb-19,325.00,241.00,230.98,300.28,222.67,250.00
Jan-19,350.00,244.00,254.89,324.41,226.16,275.00
Dec-18,350.00,238.00,,321.87,218.87,
Nov-18,363.00,233.00,180.50,336.01,215.68,195.00
Oct-18,350.00,250.00,,321.87,229.91,
Sep-18,350.00,265.00,,319.79,242.13,
Aug-18,350.00,250.00,,321.87,229.91,
Jul-18,350.00,238.00,,329.22,223.87,
Jun-18,381.00,235.00,276.42,365.68,225.55,288.00
May-18,371.00,225.00,275.40,352.32,213.67,290.00
Apr-18,350.00,240.00,268.25,328.28,225.11,286.00
Mar-18,400.00,250.00,262.62,375.18,234.49,280.00
Feb-18,350.00,257.00,253.84,323.07,237.23,275.00
Jan-18,350.00,253.00,236.87,326.39,235.94,254.00
Dec-17,350.00,275.00,282.32,326.12,256.23,303.00
Nov-17,350.00,275.00,281.87,325.60,255.82,303.00
Oct-17,350.00,271.00,276.07,322.08,249.38,300.00
Sep-17,350.00,273.00,267.44,322.77,251.76,290.00
Aug-17,350.00,250.00,238.06,322.95,230.68,258.00
Jul-17,350.00,246.00,235.31,328.12,230.62,251.00
Jun-17,350.00,240.00,237.87,333.02,228.35,250.00
May-17,350.00,240.00,238.46,333.85,228.93,250.00
Apr-17,350.00,240.00,236.98,331.77,227.50,250.00
Mar-17,350.00,229.00,217.81,328.59,214.99,232.00
Feb-17,350.00,223.00,208.96,327.97,208.96,223.00
Jan-17,350.00,224.00,208.77,327.66,209.70,223.00
Dec-16,350.00,224.00,206.42,323.98,207.35,223.00
Nov-16,350.00,250.00,233.05,326.27,233.05,250.00
Oct-16,350.00,250.00,231.00,323.41,231.00,250.00
Sep-16,350.00,250.00,231.91,324.68,231.91,250.00
Aug-16,350.00,244.00,229.51,329.22,229.51,244.00
Jul-16,350.00,244.00,233.28,334.62,233.28,244.00
Jun-16,350.00,218.00,229.54,337.56,210.25,238.00
May-16,350.00,216.00,231.12,339.88,209.75,238.00
Apr-16,350.00,216.00,230.28,338.65,208.99,238.00
Mar-16,350.00,216.00,228.89,336.61,207.74,238.00
Feb-16,350.00,219.00,215.09,334.59,209.36,225.00
Jan-16,350.00,219.00,214.43,333.56,208.71,225.00
Dec-15,350.00,217.50,226.83,330.79,205.56,240.00
Nov-15,350.00,250.00,280.19,326.89,233.49,300.00
Oct-15,343.00,255.00,276.46,316.08,234.99,300.00
Sep-15,350.00,250.00,281.76,328.72,234.80,300.00
Aug-15,362.00,248.00,263.74,344.66,236.12,277.00
Jul-15,375.00,248.00,238.59,359.32,237.63,249.00
Jun-15,,248.00,242.37,,240.43,250.00
May-15,,240.00,237.98,,233.13,245.00
Apr-15,400.00,245.00,241.61,389.69,238.69,248.00
Mar-15,475.00,249.00,233.86,462.85,242.63,240.00
Feb-15,392.00,247.00,,379.77,239.29,
Jan-15,338.00,211.00,249.51,326.88,204.06,258.00
Dec-14,375.00,200.00,175.52,355.78,189.75,185.00
Nov-14,375.00,225.00,192.35,355.33,213.20,203.00
Oct-14,400.00,269.00,235.71,375.64,252.62,251.00
Sep-14,450.00,250.00,260.25,425.87,236.59,275.00
Aug-14,375.00,250.00,238.21,357.32,238.21,250.00
Jul-14,425.00,257.00,250.27,412.26,249.30,258.00
Jun-14,383.00,258.00,244.16,374.06,251.98,250.00
May-14,400.00,258.00,244.31,390.90,252.13,250.00
Apr-14,400.00,226.00,221.66,387.19,218.76,229.00
Mar-14,435.00,263.00,252.92,418.32,252.92,263.00
Feb-14,435.00,275.00,263.26,416.43,263.26,275.00
Jan-14,435.00,275.00,259.55,410.56,259.55,275.00
Dec-13,450.00,268.00,,423.48,252.21,
Nov-13,450.00,268.00,,416.83,248.25,
Oct-13,437.00,277.00,230.15,402.30,255.01,250.00
Sep-13,423.00,238.00,,394.95,222.22,
Aug-13,475.00,269.00,240.01,447.09,253.19,255.00
Jul-13,475.00,234.00,227.69,454.43,223.87,238.00
Jun-13,444.00,254.00,239.51,428.79,245.30,248.00
May-13,465.00,254.00,238.15,446.54,243.91,248.00
Apr-13,473.00,267.00,229.92,453.13,255.78,240.00
Mar-13,469.00,269.00,234.53,448.96,257.51,245.00
Feb-13,469.00,269.00,233.36,446.72,256.22,245.00
Jan-13,452.00,249.00,233.02,429.90,236.82,245.00
Dec-12,446.00,245.00,,419.39,230.38,
Nov-12,437.00,256.00,,408.39,239.24,
Oct-12,428.00,253.00,,399.01,235.87,
Sep-12,445.00,253.00,,419.67,238.60,
Aug-12,445.00,253.00,,424.06,241.10,
Jul-12,445.00,250.00,,430.41,241.80,
Jun-12,455.00,248.00,218.81,442.48,241.17,225.00
May-12,452.00,246.00,218.71,439.37,239.13,225.00
Apr-12,484.00,231.00,216.24,465.15,222.00,225.00
Mar-12,500.00,234.00,195.88,477.76,223.59,205.00
Feb-12,444.00,256.00,215.00,424.26,244.62,225.00
Jan-12,413.00,241.00,,395.62,230.86,
Dec-11,345.00,223.00,,328.10,212.08,
Nov-11,346.00,221.00,214.45,329.78,210.64,225.00
Oct-11,346.00,221.00,213.82,328.81,210.02,225.00
Sep-11,344.00,220.00,215.00,328.71,210.22,225.00
Aug-11,348.00,220.00,216.86,335.40,212.04,225.00
Jul-11,400.00,200.00,218.31,388.11,194.05,225.00
Jun-11,356.00,226.00,210.44,346.83,220.18,216.00
May-11,393.00,190.00,186.74,384.24,185.76,191.00
Apr-11,365.00,183.00,189.32,358.04,179.51,193.00
Mar-11,393.00,182.00,184.50,385.68,178.61,188.00
Feb-11,400.00,183.00,195.20,390.40,178.61,200.00
Jan-11,400.00,179.00,194.47,388.94,174.05,200.00
Dec-10,400.00,179.00,195.41,390.81,174.89,200.00
Nov-10,400.00,180.00,189.88,391.51,176.18,194.00
Oct-10,400.00,183.00,195.19,390.37,178.60,200.00
Sep-10,393.00,200.00,196.08,385.30,196.08,200.00
Aug-10,400.00,196.00,185.51,395.75,193.92,187.50
Jul-10,400.00,198.00,175.16,400.37,198.18,175.00
Jun-10,387.00,201.00,177.79,393.16,204.20,175.00
May-10,400.00,201.00,179.69,410.72,206.39,175.00
Apr-10,400.00,201.00,196.35,409.06,205.55,192.00
Mar-10,400.00,199.00,196.54,405.23,201.60,194.00
Feb-10,400.00,195.00,202.35,404.70,197.29,200.00
Jan-10,369.00,206.00,230.58,373.17,208.33,228.00
Dec-09,358.00,197.00,225.18,364.78,200.73,221.00
Nov-09,351.00,217.00,207.33,353.26,218.40,206.00
Oct-09,348.00,213.00,202.65,347.41,212.64,203.00
Sep-09,371.00,247.00,201.95,374.62,249.41,200.00
Aug-09,367.00,268.00,210.37,371.18,271.05,208.00
Jul-09,370.00,228.00,221.21,378.93,233.50,216.00
Jun-09,367.00,213.00,214.16,377.87,219.31,208.00
May-09,381.00,215.00,204.53,389.62,219.87,200.00
Apr-09,400.00,208.00,202.36,404.73,210.46,200.00
Mar-09,403.00,218.00,207.16,405.27,219.23,206.00
Feb-09,427.00,225.00,201.04,429.22,226.17,200.00
Jan-09,450.00,225.00,200.91,452.05,226.02,200.00
Dec-08,454.00,211.00,184.81,441.59,205.23,190.00
Nov-08,456.00,212.00,211.10,443.61,206.24,217.00
Oct-08,460.00,258.00,199.42,439.97,246.77,208.50
Sep-08,469.00,258.00,191.88,449.97,247.53,200.00
Aug-08,434.00,244.00,216.96,418.49,235.28,225.00
Jul-08,467.00,242.00,219.83,456.28,236.44,225.00
Jun-08,305.00,242.00,224.10,300.44,238.38,227.50
May-08,300.00,233.00,233.01,303.92,236.05,230.00
Apr-08,300.00,231.00,215.56,303.60,233.77,213.00
Mar-08,281.00,231.00,216.29,285.35,234.57,213.00
Feb-08,288.00,219.00,217.15,293.61,223.27,213.00
Jan-08,269.00,234.00,210.04,278.33,242.12,203.00
Dec-07,250.00,213.00,208.31,255.28,217.50,204.00
Nov-07,252.00,225.00,202.44,255.07,227.74,200.00
Oct-07,248.00,226.00,227.53,253.04,230.59,223.00
Sep-07,232.00,228.00,213.59,238.24,234.13,208.00
Aug-07,220.00,223.00,212.23,228.88,232.00,204.00
Jul-07,231.00,197.00,208.41,240.71,205.28,200.00
Jun-07,250.00,186.00,186.17,265.96,197.88,175.00
May-07,250.00,197.00,203.32,267.53,210.81,190.00
Apr-07,250.00,194.00,212.06,265.07,205.70,200.00
Mar-07,247.00,191.00,202.73,260.81,201.68,192.00
Feb-07,231.00,188.00,191.55,247.20,201.18,179.00
Jan-07,227.00,183.00,196.92,245.60,198.00,182.00