ISO3,Country,Region,Service Type,Year,Coverage,Service level
SEN,Senegal,Dakar,Drinking water,2017,99.5893,At least basic
SEN,Senegal,Dakar,Sanitation,2017,70.6456,At least basic
SEN,Senegal,Dakar,Hygiene,2017,63.34134,Basic service
SEN,Senegal,Dakar,Drinking water,2017,0,Limited service
SEN,Senegal,Dakar,Hygiene,2017,14.99058,Limited service
SEN,Senegal,Dakar,Sanitation,2017,28.58579,Limited service
SEN,Senegal,Dakar,Hygiene,2017,21.66808,No handwashing facility
SEN,Senegal,Dakar,Sanitation,2017,0,Open defecation
SEN,Senegal,Dakar,Drinking water,2017,0,Surface water
SEN,Senegal,Dakar,Drinking water,2017,0.4107,Unimproved
SEN,Senegal,Dakar,Sanitation,2017,0.7686,Unimproved
SEN,Senegal,Diourbel,Drinking water,2017,91.78532,At least basic
SEN,Senegal,Diourbel,Sanitation,2017,71.65223,At least basic
SEN,Senegal,Diourbel,Hygiene,2017,13.27736,Basic service
SEN,Senegal,Diourbel,Drinking water,2017,3.22911,Limited service
SEN,Senegal,Diourbel,Hygiene,2017,21.17353,Limited service
SEN,Senegal,Diourbel,Sanitation,2017,5.71216,Limited service
SEN,Senegal,Diourbel,Hygiene,2017,65.54911,No handwashing facility
SEN,Senegal,Diourbel,Sanitation,2017,16.26942,Open defecation
SEN,Senegal,Diourbel,Drinking water,2017,0,Surface water
SEN,Senegal,Diourbel,Drinking water,2017,4.98557,Unimproved
SEN,Senegal,Diourbel,Sanitation,2017,6.36618,Unimproved
SEN,Senegal,Fatick,Drinking water,2017,64.47183,At least basic
SEN,Senegal,Fatick,Sanitation,2017,47.06006,At least basic
SEN,Senegal,Fatick,Hygiene,2017,8.76429,Basic service
SEN,Senegal,Fatick,Drinking water,2017,1.04472,Limited service
SEN,Senegal,Fatick,Hygiene,2017,34.46658,Limited service
SEN,Senegal,Fatick,Sanitation,2017,13.47112,Limited service
SEN,Senegal,Fatick,Hygiene,2017,56.76913,No handwashing facility
SEN,Senegal,Fatick,Sanitation,2017,26.39186,Open defecation
SEN,Senegal,Fatick,Drinking water,2017,0.59886,Surface water
SEN,Senegal,Fatick,Drinking water,2017,33.88459,Unimproved
SEN,Senegal,Fatick,Sanitation,2017,13.07696,Unimproved
SEN,Senegal,Kaffrine,Drinking water,2017,87.3195,At least basic
SEN,Senegal,Kaffrine,Sanitation,2017,22.00825,At least basic
SEN,Senegal,Kaffrine,Hygiene,2017,8.12322,Basic service
SEN,Senegal,Kaffrine,Drinking water,2017,7.16668,Limited service
SEN,Senegal,Kaffrine,Hygiene,2017,24.10746,Limited service
SEN,Senegal,Kaffrine,Sanitation,2017,6.141,Limited service
SEN,Senegal,Kaffrine,Hygiene,2017,67.76933,No handwashing facility
SEN,Senegal,Kaffrine,Sanitation,2017,33.3974,Open defecation
SEN,Senegal,Kaffrine,Drinking water,2017,0,Surface water
SEN,Senegal,Kaffrine,Drinking water,2017,5.51381,Unimproved
SEN,Senegal,Kaffrine,Sanitation,2017,38.45335,Unimproved
SEN,Senegal,Kaolack,Drinking water,2017,88.33498,At least basic
SEN,Senegal,Kaolack,Sanitation,2017,48.0236,At least basic
SEN,Senegal,Kaolack,Hygiene,2017,19.72235,Basic service
SEN,Senegal,Kaolack,Drinking water,2017,0.65188,Limited service
SEN,Senegal,Kaolack,Hygiene,2017,10.82358,Limited service
SEN,Senegal,Kaolack,Sanitation,2017,18.62751,Limited service
SEN,Senegal,Kaolack,Hygiene,2017,69.45407,No handwashing facility
SEN,Senegal,Kaolack,Sanitation,2017,15.61756,Open defecation
SEN,Senegal,Kaolack,Drinking water,2017,0.12445,Surface water
SEN,Senegal,Kaolack,Drinking water,2017,10.88869,Unimproved
SEN,Senegal,Kaolack,Sanitation,2017,17.73133,Unimproved
SEN,Senegal,Kedougou,Drinking water,2017,77.02641,At least basic
SEN,Senegal,Kedougou,Sanitation,2017,21.30996,At least basic
SEN,Senegal,Kedougou,Hygiene,2017,2.47659,Basic service
SEN,Senegal,Kedougou,Drinking water,2017,3.89178,Limited service
SEN,Senegal,Kedougou,Hygiene,2017,1.68191,Limited service
SEN,Senegal,Kedougou,Sanitation,2017,5.59313,Limited service
SEN,Senegal,Kedougou,Hygiene,2017,95.84149,No handwashing facility
SEN,Senegal,Kedougou,Sanitation,2017,23.78285,Open defecation
SEN,Senegal,Kedougou,Drinking water,2017,1.04158,Surface water
SEN,Senegal,Kedougou,Drinking water,2017,18.04023,Unimproved
SEN,Senegal,Kedougou,Sanitation,2017,49.31406,Unimproved
SEN,Senegal,Kolda,Drinking water,2017,22.21648,At least basic
SEN,Senegal,Kolda,Sanitation,2017,15.91651,At least basic
SEN,Senegal,Kolda,Hygiene,2017,4.27854,Basic service
SEN,Senegal,Kolda,Drinking water,2017,0.85112,Limited service
SEN,Senegal,Kolda,Hygiene,2017,3.47735,Limited service
SEN,Senegal,Kolda,Sanitation,2017,4.70034,Limited service
SEN,Senegal,Kolda,Hygiene,2017,92.24412,No handwashing facility
SEN,Senegal,Kolda,Sanitation,2017,17.25002,Open defecation
SEN,Senegal,Kolda,Drinking water,2017,0,Surface water
SEN,Senegal,Kolda,Drinking water,2017,76.93239,Unimproved
SEN,Senegal,Kolda,Sanitation,2017,62.13312,Unimproved
SEN,Senegal,Louga,Drinking water,2017,88.40684,At least basic
SEN,Senegal,Louga,Sanitation,2017,60.24923,At least basic
SEN,Senegal,Louga,Hygiene,2017,7.00035,Basic service
SEN,Senegal,Louga,Drinking water,2017,10.5406,Limited service
SEN,Senegal,Louga,Hygiene,2017,20.09119,Limited service
SEN,Senegal,Louga,Sanitation,2017,9.96409,Limited service
SEN,Senegal,Louga,Hygiene,2017,72.90845,No handwashing facility
SEN,Senegal,Louga,Sanitation,2017,20.17844,Open defecation
SEN,Senegal,Louga,Drinking water,2017,0.13322,Surface water
SEN,Senegal,Louga,Drinking water,2017,0.91935,Unimproved
SEN,Senegal,Louga,Sanitation,2017,9.60824,Unimproved
SEN,Senegal,Matam,Drinking water,2017,82.58789,At least basic
SEN,Senegal,Matam,Sanitation,2017,33.1228,At least basic
SEN,Senegal,Matam,Hygiene,2017,4.08895,Basic service
SEN,Senegal,Matam,Drinking water,2017,1.58598,Limited service
SEN,Senegal,Matam,Hygiene,2017,4.04069,Limited service
SEN,Senegal,Matam,Sanitation,2017,8.20852,Limited service
SEN,Senegal,Matam,Hygiene,2017,91.87037,No handwashing facility
SEN,Senegal,Matam,Sanitation,2017,16.46461,Open defecation
SEN,Senegal,Matam,Drinking water,2017,1.35363,Surface water
SEN,Senegal,Matam,Drinking water,2017,14.4725,Unimproved
SEN,Senegal,Matam,Sanitation,2017,42.20407,Unimproved
SEN,Senegal,Saint-Louis,Drinking water,2017,81.45713,At least basic
SEN,Senegal,Saint-Louis,Sanitation,2017,53.35165,At least basic
SEN,Senegal,Saint-Louis,Hygiene,2017,8.68815,Basic service
SEN,Senegal,Saint-Louis,Drinking water,2017,5.66448,Limited service
SEN,Senegal,Saint-Louis,Hygiene,2017,22.51444,Limited service
SEN,Senegal,Saint-Louis,Sanitation,2017,16.05309,Limited service
SEN,Senegal,Saint-Louis,Hygiene,2017,68.79741,No handwashing facility
SEN,Senegal,Saint-Louis,Sanitation,2017,12.37209,Open defecation
SEN,Senegal,Saint-Louis,Drinking water,2017,6.35559,Surface water
SEN,Senegal,Saint-Louis,Drinking water,2017,6.5228,Unimproved
SEN,Senegal,Saint-Louis,Sanitation,2017,18.22317,Unimproved
SEN,Senegal,Sedhiou,Drinking water,2017,21.02003,At least basic
SEN,Senegal,Sedhiou,Sanitation,2017,56.94839,At least basic
SEN,Senegal,Sedhiou,Hygiene,2017,52.07195,Basic service
SEN,Senegal,Sedhiou,Drinking water,2017,1.38626,Limited service
SEN,Senegal,Sedhiou,Hygiene,2017,24.69116,Limited service
SEN,Senegal,Sedhiou,Sanitation,2017,19.68485,Limited service
SEN,Senegal,Sedhiou,Hygiene,2017,23.23689,No handwashing facility
SEN,Senegal,Sedhiou,Sanitation,2017,4.94596,Open defecation
SEN,Senegal,Sedhiou,Drinking water,2017,0,Surface water
SEN,Senegal,Sedhiou,Drinking water,2017,77.59372,Unimproved
SEN,Senegal,Sedhiou,Sanitation,2017,18.4208,Unimproved
SEN,Senegal,Tambacounda,Drinking water,2017,52.36244,At least basic
SEN,Senegal,Tambacounda,Sanitation,2017,18.93976,At least basic
SEN,Senegal,Tambacounda,Hygiene,2017,7.85415,Basic service
SEN,Senegal,Tambacounda,Drinking water,2017,2.33488,Limited service
SEN,Senegal,Tambacounda,Hygiene,2017,3.01108,Limited service
SEN,Senegal,Tambacounda,Sanitation,2017,5.03031,Limited service
SEN,Senegal,Tambacounda,Hygiene,2017,89.13477,No handwashing facility
SEN,Senegal,Tambacounda,Sanitation,2017,15.82408,Open defecation
SEN,Senegal,Tambacounda,Drinking water,2017,1.24815,Surface water
SEN,Senegal,Tambacounda,Drinking water,2017,44.05454,Unimproved
SEN,Senegal,Tambacounda,Sanitation,2017,60.20585,Unimproved
SEN,Senegal,ThiéS,Drinking water,2017,91.99903,At least basic
SEN,Senegal,ThiéS,Sanitation,2017,65.64788,At least basic
SEN,Senegal,ThiéS,Hygiene,2017,27.13989,Basic service
SEN,Senegal,ThiéS,Drinking water,2017,0.55131,Limited service
SEN,Senegal,ThiéS,Hygiene,2017,24.49471,Limited service
SEN,Senegal,ThiéS,Sanitation,2017,14.85831,Limited service
SEN,Senegal,ThiéS,Hygiene,2017,48.36539,No handwashing facility
SEN,Senegal,ThiéS,Sanitation,2017,13.19045,Open defecation
SEN,Senegal,ThiéS,Drinking water,2017,0,Surface water
SEN,Senegal,ThiéS,Drinking water,2017,7.44966,Unimproved
SEN,Senegal,ThiéS,Sanitation,2017,6.30336,Unimproved
SEN,Senegal,Ziguinchor,Drinking water,2017,33.83222,At least basic
SEN,Senegal,Ziguinchor,Sanitation,2017,61.9723,At least basic
SEN,Senegal,Ziguinchor,Hygiene,2017,62.70388,Basic service
SEN,Senegal,Ziguinchor,Drinking water,2017,1.01753,Limited service
SEN,Senegal,Ziguinchor,Hygiene,2017,18.7156,Limited service
SEN,Senegal,Ziguinchor,Sanitation,2017,21.25713,Limited service
SEN,Senegal,Ziguinchor,Hygiene,2017,18.58052,No handwashing facility
SEN,Senegal,Ziguinchor,Sanitation,2017,3.20358,Open defecation
SEN,Senegal,Ziguinchor,Drinking water,2017,0,Surface water
SEN,Senegal,Ziguinchor,Drinking water,2017,65.15025,Unimproved
SEN,Senegal,Ziguinchor,Sanitation,2017,13.56698,Unimproved
SEN,Senegal,Dakar,Drinking water,2015,93.57559,At least basic
SEN,Senegal,Dakar,Sanitation,2015,62.02846,At least basic
SEN,Senegal,Dakar,Hygiene,2015,27.57499,Basic service
SEN,Senegal,Dakar,Drinking water,2015,1.11633,Limited service
SEN,Senegal,Dakar,Hygiene,2015,18.80801,Limited service
SEN,Senegal,Dakar,Sanitation,2015,37.05173,Limited service
SEN,Senegal,Dakar,Hygiene,2015,53.61701,No handwashing facility
SEN,Senegal,Dakar,Sanitation,2015,0.33477,Open defecation
SEN,Senegal,Dakar,Drinking water,2015,0,Surface water
SEN,Senegal,Dakar,Drinking water,2015,5.30808,Unimproved
SEN,Senegal,Dakar,Sanitation,2015,0.58505,Unimproved
SEN,Senegal,Diourbel,Drinking water,2015,84.1397,At least basic
SEN,Senegal,Diourbel,Sanitation,2015,68.873,At least basic
SEN,Senegal,Diourbel,Hygiene,2015,24.45136,Basic service
SEN,Senegal,Diourbel,Drinking water,2015,1.64202,Limited service
SEN,Senegal,Diourbel,Hygiene,2015,1.41154,Limited service
SEN,Senegal,Diourbel,Sanitation,2015,4.1581,Limited service
SEN,Senegal,Diourbel,Hygiene,2015,74.1371,No handwashing facility
SEN,Senegal,Diourbel,Sanitation,2015,15.40121,Open defecation
SEN,Senegal,Diourbel,Drinking water,2015,0,Surface water
SEN,Senegal,Diourbel,Drinking water,2015,14.21828,Unimproved
SEN,Senegal,Diourbel,Sanitation,2015,11.56769,Unimproved
SEN,Senegal,Fatick,Drinking water,2015,39.97238,At least basic
SEN,Senegal,Fatick,Sanitation,2015,28.58247,At least basic
SEN,Senegal,Fatick,Hygiene,2015,5.12956,Basic service
SEN,Senegal,Fatick,Drinking water,2015,2.14139,Limited service
SEN,Senegal,Fatick,Hygiene,2015,1.06133,Limited service
SEN,Senegal,Fatick,Sanitation,2015,7.74662,Limited service
SEN,Senegal,Fatick,Hygiene,2015,93.80911,No handwashing facility
SEN,Senegal,Fatick,Sanitation,2015,29.71459,Open defecation
SEN,Senegal,Fatick,Drinking water,2015,0.3059,Surface water
SEN,Senegal,Fatick,Drinking water,2015,57.58033,Unimproved
SEN,Senegal,Fatick,Sanitation,2015,33.95632,Unimproved
SEN,Senegal,Kaffrine,Drinking water,2015,76.72918,At least basic
SEN,Senegal,Kaffrine,Sanitation,2015,24.94116,At least basic
SEN,Senegal,Kaffrine,Hygiene,2015,4.53524,Basic service
SEN,Senegal,Kaffrine,Drinking water,2015,5.04501,Limited service
SEN,Senegal,Kaffrine,Hygiene,2015,19.30355,Limited service
SEN,Senegal,Kaffrine,Sanitation,2015,8.20025,Limited service
SEN,Senegal,Kaffrine,Hygiene,2015,76.16121,No handwashing facility
SEN,Senegal,Kaffrine,Sanitation,2015,31.10197,Open defecation
SEN,Senegal,Kaffrine,Drinking water,2015,0,Surface water
SEN,Senegal,Kaffrine,Drinking water,2015,18.22581,Unimproved
SEN,Senegal,Kaffrine,Sanitation,2015,35.75662,Unimproved
SEN,Senegal,Kaolack,Drinking water,2015,79.33817,At least basic
SEN,Senegal,Kaolack,Sanitation,2015,37.11624,At least basic
SEN,Senegal,Kaolack,Hygiene,2015,7.98575,Basic service
SEN,Senegal,Kaolack,Drinking water,2015,4.01233,Limited service
SEN,Senegal,Kaolack,Hygiene,2015,16.48431,Limited service
SEN,Senegal,Kaolack,Sanitation,2015,8.49362,Limited service
SEN,Senegal,Kaolack,Hygiene,2015,75.52994,No handwashing facility
SEN,Senegal,Kaolack,Sanitation,2015,21.02445,Open defecation
SEN,Senegal,Kaolack,Drinking water,2015,0.22336,Surface water
SEN,Senegal,Kaolack,Drinking water,2015,16.42614,Unimproved
SEN,Senegal,Kaolack,Sanitation,2015,33.36568,Unimproved
SEN,Senegal,Kedougou,Drinking water,2015,71.55422,At least basic
SEN,Senegal,Kedougou,Sanitation,2015,11.45644,At least basic
SEN,Senegal,Kedougou,Hygiene,2015,7.68703,Basic service
SEN,Senegal,Kedougou,Drinking water,2015,9.58368,Limited service
SEN,Senegal,Kedougou,Hygiene,2015,14.50008,Limited service
SEN,Senegal,Kedougou,Sanitation,2015,5.3122,Limited service
SEN,Senegal,Kedougou,Hygiene,2015,77.8129,No handwashing facility
SEN,Senegal,Kedougou,Sanitation,2015,31.08214,Open defecation
SEN,Senegal,Kedougou,Drinking water,2015,2.56883,Surface water
SEN,Senegal,Kedougou,Drinking water,2015,16.29328,Unimproved
SEN,Senegal,Kedougou,Sanitation,2015,52.14922,Unimproved
SEN,Senegal,Kolda,Drinking water,2015,19.64764,At least basic
SEN,Senegal,Kolda,Sanitation,2015,13.99864,At least basic
SEN,Senegal,Kolda,Hygiene,2015,2.63315,Basic service
SEN,Senegal,Kolda,Drinking water,2015,0.79901,Limited service
SEN,Senegal,Kolda,Hygiene,2015,5.70402,Limited service
SEN,Senegal,Kolda,Sanitation,2015,1.84657,Limited service
SEN,Senegal,Kolda,Hygiene,2015,91.66284,No handwashing facility
SEN,Senegal,Kolda,Sanitation,2015,7.27952,Open defecation
SEN,Senegal,Kolda,Drinking water,2015,0,Surface water
SEN,Senegal,Kolda,Drinking water,2015,79.55336,Unimproved
SEN,Senegal,Kolda,Sanitation,2015,76.87527,Unimproved
SEN,Senegal,Louga,Drinking water,2015,70.26842,At least basic
SEN,Senegal,Louga,Sanitation,2015,57.72354,At least basic
SEN,Senegal,Louga,Hygiene,2015,31.95935,Basic service
SEN,Senegal,Louga,Drinking water,2015,11.55766,Limited service
SEN,Senegal,Louga,Hygiene,2015,2.27111,Limited service
SEN,Senegal,Louga,Sanitation,2015,5.55656,Limited service
SEN,Senegal,Louga,Hygiene,2015,65.76953,No handwashing facility
SEN,Senegal,Louga,Sanitation,2015,28.35654,Open defecation
SEN,Senegal,Louga,Drinking water,2015,0,Surface water
SEN,Senegal,Louga,Drinking water,2015,18.17392,Unimproved
SEN,Senegal,Louga,Sanitation,2015,8.36336,Unimproved
SEN,Senegal,Matam,Drinking water,2015,75.91979,At least basic
SEN,Senegal,Matam,Sanitation,2015,48.04941,At least basic
SEN,Senegal,Matam,Hygiene,2015,29.89457,Basic service
SEN,Senegal,Matam,Drinking water,2015,4.88376,Limited service
SEN,Senegal,Matam,Hygiene,2015,3.78034,Limited service
SEN,Senegal,Matam,Sanitation,2015,8.57136,Limited service
SEN,Senegal,Matam,Hygiene,2015,66.32509,No handwashing facility
SEN,Senegal,Matam,Sanitation,2015,28.66489,Open defecation
SEN,Senegal,Matam,Drinking water,2015,0.58024,Surface water
SEN,Senegal,Matam,Drinking water,2015,18.61622,Unimproved
SEN,Senegal,Matam,Sanitation,2015,14.71434,Unimproved
SEN,Senegal,Saint-Louis,Drinking water,2015,83.5822,At least basic
SEN,Senegal,Saint-Louis,Sanitation,2015,50.48635,At least basic
SEN,Senegal,Saint-Louis,Hygiene,2015,33.75381,Basic service
SEN,Senegal,Saint-Louis,Drinking water,2015,4.1628,Limited service
SEN,Senegal,Saint-Louis,Hygiene,2015,1.98179,Limited service
SEN,Senegal,Saint-Louis,Sanitation,2015,8.54142,Limited service
SEN,Senegal,Saint-Louis,Hygiene,2015,64.2644,No handwashing facility
SEN,Senegal,Saint-Louis,Sanitation,2015,16.51855,Open defecation
SEN,Senegal,Saint-Louis,Drinking water,2015,0,Surface water
SEN,Senegal,Saint-Louis,Drinking water,2015,12.255,Unimproved
SEN,Senegal,Saint-Louis,Sanitation,2015,24.45368,Unimproved
SEN,Senegal,Sedhiou,Drinking water,2015,20.06806,At least basic
SEN,Senegal,Sedhiou,Sanitation,2015,10.91883,At least basic
SEN,Senegal,Sedhiou,Hygiene,2015,9.85796,Basic service
SEN,Senegal,Sedhiou,Drinking water,2015,3.05847,Limited service
SEN,Senegal,Sedhiou,Hygiene,2015,4.81062,Limited service
SEN,Senegal,Sedhiou,Sanitation,2015,1.92697,Limited service
SEN,Senegal,Sedhiou,Hygiene,2015,85.33142,No handwashing facility
SEN,Senegal,Sedhiou,Sanitation,2015,6.20457,Open defecation
SEN,Senegal,Sedhiou,Drinking water,2015,0,Surface water
SEN,Senegal,Sedhiou,Drinking water,2015,76.87347,Unimproved
SEN,Senegal,Sedhiou,Sanitation,2015,80.94963,Unimproved
SEN,Senegal,Tambacounda,Drinking water,2015,48.88159,At least basic
SEN,Senegal,Tambacounda,Sanitation,2015,14.39037,At least basic
SEN,Senegal,Tambacounda,Hygiene,2015,1.88662,Basic service
SEN,Senegal,Tambacounda,Drinking water,2015,2.07621,Limited service
SEN,Senegal,Tambacounda,Hygiene,2015,10.04949,Limited service
SEN,Senegal,Tambacounda,Sanitation,2015,6.62832,Limited service
SEN,Senegal,Tambacounda,Hygiene,2015,88.06389,No handwashing facility
SEN,Senegal,Tambacounda,Sanitation,2015,14.21484,Open defecation
SEN,Senegal,Tambacounda,Drinking water,2015,0,Surface water
SEN,Senegal,Tambacounda,Drinking water,2015,49.0422,Unimproved
SEN,Senegal,Tambacounda,Sanitation,2015,64.76648,Unimproved
SEN,Senegal,ThièS,Drinking water,2015,87.75315,At least basic
SEN,Senegal,ThièS,Sanitation,2015,65.81017,At least basic
SEN,Senegal,ThièS,Hygiene,2015,6.94664,Basic service
SEN,Senegal,ThièS,Drinking water,2015,3.38346,Limited service
SEN,Senegal,ThièS,Hygiene,2015,3.68863,Limited service
SEN,Senegal,ThièS,Sanitation,2015,14.63885,Limited service
SEN,Senegal,ThièS,Hygiene,2015,89.36472,No handwashing facility
SEN,Senegal,ThièS,Sanitation,2015,9.89782,Open defecation
SEN,Senegal,ThièS,Drinking water,2015,0,Surface water
SEN,Senegal,ThièS,Drinking water,2015,8.86338,Unimproved
SEN,Senegal,ThièS,Sanitation,2015,9.65317,Unimproved
SEN,Senegal,Ziguinchor,Drinking water,2015,33.82268,At least basic
SEN,Senegal,Ziguinchor,Sanitation,2015,28.01574,At least basic
SEN,Senegal,Ziguinchor,Hygiene,2015,9.58754,Basic service
SEN,Senegal,Ziguinchor,Drinking water,2015,0.84167,Limited service
SEN,Senegal,Ziguinchor,Hygiene,2015,5.38791,Limited service
SEN,Senegal,Ziguinchor,Sanitation,2015,11.42393,Limited service
SEN,Senegal,Ziguinchor,Hygiene,2015,85.02455,No handwashing facility
SEN,Senegal,Ziguinchor,Sanitation,2015,7.07174,Open defecation
SEN,Senegal,Ziguinchor,Drinking water,2015,0,Surface water
SEN,Senegal,Ziguinchor,Drinking water,2015,65.33565,Unimproved
SEN,Senegal,Ziguinchor,Sanitation,2015,53.48859,Unimproved
SEN,Senegal,Dakar,Drinking water,2013,96.32856,At least basic
SEN,Senegal,Dakar,Sanitation,2013,57.26121,At least basic
SEN,Senegal,Dakar,Hygiene,2013,21.81795,Basic service
SEN,Senegal,Dakar,Drinking water,2013,1.86569,Limited service
SEN,Senegal,Dakar,Hygiene,2013,24.88162,Limited service
SEN,Senegal,Dakar,Sanitation,2013,41.33799,Limited service
SEN,Senegal,Dakar,Hygiene,2013,53.30042,No handwashing facility
SEN,Senegal,Dakar,Sanitation,2013,0.12016,Open defecation
SEN,Senegal,Dakar,Drinking water,2013,0,Surface water
SEN,Senegal,Dakar,Drinking water,2013,1.80575,Unimproved
SEN,Senegal,Dakar,Sanitation,2013,1.28063,Unimproved
SEN,Senegal,Diourbel,Drinking water,2013,87.99383,At least basic
SEN,Senegal,Diourbel,Sanitation,2013,62.74311,At least basic
SEN,Senegal,Diourbel,Hygiene,2013,5.12091,Basic service
SEN,Senegal,Diourbel,Drinking water,2013,7.75571,Limited service
SEN,Senegal,Diourbel,Hygiene,2013,12.93686,Limited service
SEN,Senegal,Diourbel,Sanitation,2013,5.12948,Limited service
SEN,Senegal,Diourbel,Hygiene,2013,81.94223,No handwashing facility
SEN,Senegal,Diourbel,Sanitation,2013,23.01604,Open defecation
SEN,Senegal,Diourbel,Drinking water,2013,0,Surface water
