Region_main,Region,Year,Crop,Area,Production,Yield,Total_area,percentageion
DAKAR,Rufisque,2014,Arachide,2943,589,0.2001359157,130000,2.263846154
DAKAR,Rufisque,2015,Arachide,1233,935,0.7583130576,130000,0.9484615385
DAKAR,Rufisque,2016,Arachide,1248,257,0.2059294872,130000,0.96
DAKAR,Rufisque,2014,Cowpea,1178,177,0.1502546689,130000,0.9061538462
DAKAR,Rufisque,2015,Cowpea,858,397,0.4627039627,130000,0.66
DAKAR,Rufisque,2016,Cowpea,1248,366,0.2932692308,130000,0.96
DAKAR,Rufisque,2014,Corn,900,585,0.65,130000,0.6923076923
DAKAR,Rufisque,2015,Corn,900,799,0.8877777778,130000,0.6923076923
DAKAR,Rufisque,2016,Corn,990,836,0.8444444444,130000,0.7615384615
DAKAR,Rufisque,2014,Sorghum,200,90,0.45,130000,0.1538461538
DAKAR,Rufisque,2015,Sorghum,350,180,0.5142857143,130000,0.2692307692
DAKAR,Rufisque,2016,Sorghum,385,193,0.5012987013,130000,0.2961538462
DAKAR,Rufisque,2014,Manioc,375,2625,7,130000,0.2884615385
DAKAR,Rufisque,2015,Manioc,683,5189,7.597364568,130000,0.5253846154
DAKAR,Rufisque,2016,Manioc,500,NA,0,130000,0.3846153846
FATICK,Fatick,2014,Arachide,NA,9600,0,264600,0
FATICK,Fatick,2015,Arachide,NA,39148,0,264600,0
FATICK,Fatick,2016,Arachide,NA,26699,0,264600,0
FATICK,Foundiougne,2014,Arachide,NA,37461,0,295900,0
FATICK,Foundiougne,2015,Arachide,NA,39148,0,295900,0
FATICK,Foundiougne,2016,Arachide,NA,43010,0,295900,0
FATICK,Gossas,2014,Arachide,NA,53379,0,233000,0
FATICK,Gossas,2015,Arachide,NA,63117,0,233000,0
FATICK,Gossas,2016,Arachide,NA,74356,0,233000,0
FATICK,Fatick,2014,Rice,NA,5790,0,264600,0
FATICK,Fatick,2015,Rice,NA,10629,0,264600,0
FATICK,Fatick,2016,Rice,NA,7820,0,264600,0
FATICK,Foundiougne,2014,Rice,NA,677,0,295900,0
FATICK,Foundiougne,2015,Rice,NA,5353,0,295900,0
FATICK,Foundiougne,2016,Rice,NA,5904,0,295900,0
DIOURBEL,Bambey,2014,Arachide,25000,12500,0.5,135100,18.50481125
DIOURBEL,Bambey,2015,Arachide,27900,22339,0.8006810036,135100,20.65136936
DIOURBEL,Bambey,2016,Arachide,28235,13186,0.4670090313,135100,20.89933383
DIOURBEL,Diourbel,2014,Arachide,24000,12000,0.5,117500,20.42553191
DIOURBEL,Diourbel,2015,Arachide,18708,13677,0.7310776139,117500,15.92170213
DIOURBEL,Diourbel,2016,Arachide,28670,13848,0.4830136031,117500,24.4
DIOURBEL,Mbacke,2014,Arachide,21941,8777,0.4000273461,224300,9.781988408
DIOURBEL,Mbacke,2015,Arachide,34619,29426,0.8499956671,224300,15.43423986
DIOURBEL,Mbacke,2016,Arachide,35035,21547,0.6150135579,224300,15.61970575
DIOURBEL,Bambey,2016,Rice,2.5,0,0,135100,0.001850481125
DIOURBEL,Diourbel,2016,Rice,3,0,0,117500,0.002553191489
DIOURBEL,Mbacke,2016,Rice,66.5,0.39,0.005864661654,224300,0.02964779313
KAFFRINE,Birkelane,2014,Arachide,37000,37000,1,0,0
KAFFRINE,Birkelane,2015,Arachide,40600,39017,0.9610098522,0,0
KAFFRINE,Birkelane,2016,Arachide,45760,40360,0.881993007,0,0
KAFFRINE,Kaffrine,2014,Arachide,57263,51537,0.900005239,1110200,5.157899478
KAFFRINE,Kaffrine,2015,Arachide,54858,52993,0.9660031354,1110200,4.941271843
KAFFRINE,Kaffrine,2016,Arachide,61445,55976,0.9109935715,1110200,5.534588362
KAFFRINE,Koungheul,2014,Arachide,41200,49440,1.2,200,20600
KAFFRINE,Koungheul,2015,Arachide,62311,59382,0.9529938534,200,31155.5
KAFFRINE,Koungheul,2016,Arachide,62527,55524,0.8880003838,200,31263.5
KAFFRINE,Malem Hodar,2014,Arachide,36500,43800,1.2,62550,58.35331735
KAFFRINE,Malem Hodar,2015,Arachide,49140,47076,0.957997558,62550,78.56115108
KAFFRINE,Malem Hodar,2016,Arachide,51383,43419,0.8450071035,62550,82.14708233
KAFFRINE,Birkelane,2014,Rice,63,19,0.3015873016,0,0
KAFFRINE,Birkelane,2015,Rice,444,355,0.7995495495,0,0
KAFFRINE,Birkelane,2016,Rice,444,399,0.8986486486,0,0
KAFFRINE,Kaffrine,2014,Rice,60,18,0.3,1110200,0.005404431634
KAFFRINE,Kaffrine,2015,Rice,34,27,0.7941176471,1110200,0.003062511259
KAFFRINE,Kaffrine,2016,Rice,34,29,0.8529411765,1110200,0.003062511259
KAFFRINE,Koungheul,2014,Rice,82,66,0.8048780488,200,41
KAFFRINE,Koungheul,2015,Rice,98,68,0.693877551,200,49
KAFFRINE,Koungheul,2016,Rice,98,88,0.8979591837,200,49
KAFFRINE,Malem Hodar,2014,Rice,55,39,0.7090909091,62550,0.08792965627
KAFFRINE,Malem Hodar,2015,Rice,31,27,0.8709677419,62550,0.04956035172
KAFFRINE,Malem Hodar,2016,Rice,100,100,1,62550,0.1598721023
KAOLACK,KAOLACK,2014,Arachide,43487,30963,0.7120058868,188900,23.02117522
KAOLACK,KAOLACK,2015,Arachide,38072,40095,1.053136163,188900,20.15457914
KAOLACK,KAOLACK,2016,Arachide,45657,42004,0.9199903629,188900,24.16993118
KAOLACK,NIORO,2014,Arachide,61226,48981,0.8000032666,230200,26.59687228
KAOLACK,NIORO,2015,Arachide,59933,63594,1.061084878,230200,26.03518679
KAOLACK,NIORO,2016,Arachide,68800,61062,0.8875290698,230200,29.88705474
KAOLACK,GUINGUINEO,2014,Arachide,22952,16066,0.6999825723,116600,19.68439108
KAOLACK,GUINGUINEO,2015,Arachide,20837,21212,1.017996833,116600,17.87049743
KAOLACK,GUINGUINEO,2016,Arachide,24530,18398,0.7500203832,116600,21.03773585
KAOLACK,KAOLACK,2014,Rice,250,86,0.344,188900,0.1323451562
KAOLACK,KAOLACK,2015,Rice,350,875,2.5,188900,0.1852832186
KAOLACK,KAOLACK,2016,Rice,350,623,1.78,188900,0.1852832186
KAOLACK,NIORO,2014,Rice,800,838,1.0475,230200,0.3475238923
KAOLACK,NIORO,2015,Rice,1550,4650,3,230200,0.6733275413
KAOLACK,NIORO,2016,Rice,1550,2790,1.8,230200,0.6733275413
KEDOUGOU,Kedougou,2014,Arachide,25000,25000,1,1689600,1.479640152
KEDOUGOU,Kedougou,2015,Arachide,1961,1863,0.9500254972,1689600,0.1160629735
KEDOUGOU,Kedougou,2016,Arachide,2300,2583,1.123043478,1689600,0.1361268939
KEDOUGOU,Salemata,2014,Arachide,1500,1350,0.9,197000,0.7614213198
KEDOUGOU,Salemata,2015,Arachide,389,532,1.367609254,197000,0.1974619289
KEDOUGOU,Salemata,2016,Arachide,394,428,1.086294416,197000,0.2
KEDOUGOU,SARAYA,2014,Arachide,2162,1946,0.9000925069,877700,0.2463256238
KEDOUGOU,SARAYA,2015,Arachide,1586,1586,1,877700,0.1806995557
KEDOUGOU,SARAYA,2016,Arachide,1605,2051,1.27788162,877700,0.1828643044
KEDOUGOU,Kedougou,2014,Rice,2840,7100,2.5,1689600,0.1680871212
KEDOUGOU,Kedougou,2015,Rice,3500,8750,2.5,1689600,0.2071496212
KEDOUGOU,Kedougou,2016,Rice,4500,13563,3.014,1689600,0.2663352273
KEDOUGOU,Salemata,2014,Rice,360,540,1.5,197000,0.1827411168
KEDOUGOU,Salemata,2015,Rice,650,1625,2.5,197000,0.3299492386
KEDOUGOU,Salemata,2016,Rice,800,1987,2.48375,197000,0.4060913706
KEDOUGOU,SARAYA,2014,Rice,3060,5355,1.75,877700,0.348638487
KEDOUGOU,SARAYA,2015,Rice,3350,8375,2.5,877700,0.3816793893
KEDOUGOU,SARAYA,2016,Rice,3500,9138,2.610857143,877700,0.3987695112
KOLDA,Kolda,2014,Arachide,11500,14950,1.3,828400,1.388218252
KOLDA,Kolda,2015,Arachide,18835,27001,1.433554553,828400,2.273660068
KOLDA,Kolda,2016,Arachide,21500,22941,1.067023256,828400,2.595364558
KOLDA,Velingara,2014,Arachide,17200,22704,1.32,543400,3.165255797
KOLDA,Velingara,2015,Arachide,19264,23979,1.24475706,543400,3.545086492
KOLDA,Velingara,2016,Arachide,21670,24921,1.150023073,543400,3.987854251
KOLDA,Medina Yoro Foulah,2014,Arachide,17500,22750,1.3,0,0
KOLDA,Medina Yoro Foulah,2015,Arachide,24180,35383,1.463316791,0,0
KOLDA,Medina Yoro Foulah,2016,Arachide,25630,28936,1.128989465,0,0
KOLDA,Kolda,2014,Rice,1750,5250,3,828400,0.2112506036
KOLDA,Kolda,2015,Rice,30536,77587,2.540837045,828400,3.68614196
KOLDA,Kolda,2016,Rice,30536,68095,2.22999083,828400,3.68614196
KOLDA,Velingara,2014,Rice,2500,1375,0.55,543400,0.4600662495
KOLDA,Velingara,2015,Rice,18631,43239,2.320809404,543400,3.428597718
KOLDA,Velingara,2016,Rice,14000,26558,1.897,543400,2.576370997
KOLDA,Medina Yoro Foulah,2014,Rice,NA,746,0,0,0
KOLDA,Medina Yoro Foulah,2015,Rice,10500,26849,2.557047619,0,0
KOLDA,Medina Yoro Foulah,2016,Rice,12500,23188,1.85504,0,0
LOUGA,Louga,2014,Arachide,35000,12250,0.35,564900,6.195786865
LOUGA,Louga,2015,Arachide,85722,59963,0.6995053778,564900,15.17472119
LOUGA,Louga,2016,Arachide,86752,34961,0.4029993545,564900,15.35705435
LOUGA,Kebemer,2014,Arachide,29424.82,102986.87,3.5,382300,7.696787863
LOUGA,Kebemer,2015,Arachide,63570,52636,0.8280006292,382300,16.62830238
LOUGA,Kebemer,2016,Arachide,65700,45990,0.7,382300,17.18545645
LOUGA,Linguère,2014,Arachide,40889,14311.15,0.35,1971600,2.073899371
LOUGA,Linguère,2015,Arachide,36790,27237,0.7403370481,1971600,1.86599716
LOUGA,Linguère,2016,Arachide,37232,27999,0.7520143962,1971600,1.8884155
LOUGA,Louga,2014,Cowpea,24708,9883.2,0.4,564900,4.373871482
LOUGA,Louga,2015,Cowpea,48113,28432,0.590942157,564900,8.517082669
LOUGA,Louga,2016,Cowpea,51700,27970,0.5410058027,564900,9.152062312
LOUGA,Kebemer,2014,Cowpea,22500,9000,0.4,382300,5.88543029
LOUGA,Kebemer,2015,Cowpea,17958,10775,0.6000111371,382300,4.697358096
LOUGA,Kebemer,2016,Cowpea,19050,11259,0.591023622,382300,4.982997646
LOUGA,Linguère,2014,Cowpea,16670,6668,0.4,1971600,0.8455061879
LOUGA,Linguère,2015,Cowpea,8880,4150,0.4673423423,1971600,0.4503956178
LOUGA,Linguère,2016,Cowpea,9768,5382,0.550982801,1971600,0.4954351795
MATAM,Kanel,2014,Arachide,28,14,0.5,878610,0.003186851959
MATAM,Kanel,2015,Arachide,401,385,0.9600997506,878610,0.0456402727
MATAM,Kanel,2016,Arachide,406,267,0.657635468,878610,0.04620935341
MATAM,Matam,2014,Arachide,654,196,0.2996941896,572800,0.1141759777
MATAM,Matam,2015,Arachide,204,102,0.5,572800,0.03561452514
MATAM,Matam,2016,Arachide,206,103,0.5,5728900,0.003595803732
MATAM,Ranerou,2014,Arachide,1009,303,0.3002973241,1510080,0.06681765204
MATAM,Ranerou,2015,Arachide,1042,294,0.2821497121,1510080,0.06900296673
MATAM,Ranerou,2016,Arachide,1055,557,0.5279620853,1510080,0.06986384827
MATAM,Kanel,2014,Rice,1340,8151,6.082835821,878610,0.1525136295
MATAM,Kanel,2015,Rice,1694,9625,5.681818182,878610,0.1928045435
MATAM,Kanel,2016,Rice,1864,11747,6.302038627,878610,0.2121532876
MATAM,Matam,2014,Rice,4192,22213,5.298902672,572800,0.7318435754
MATAM,Matam,2015,Rice,4434,22448,5.062697339,572800,0.7740921788
MATAM,Matam,2016,Rice,5657,36105,6.38235814,572800,0.9876047486
MATAM,Ranerou,2014,Rice,0,0,0,1510080,0
MATAM,Ranerou,2015,Rice,0,0,0,1510080,0
MATAM,Ranerou,2016,Rice,0,0,0,1510080,0
MATAM,Kanel,2014,Corn,359,323,0.8997214485,878610,0.04085999476
MATAM,Kanel,2015,Corn,34,61,1.794117647,878610,0.003869748808
MATAM,Kanel,2016,Corn,37,67,1.810810811,878610,0.004211197232
MATAM,Matam,2014,Corn,142,71,0.5,572800,0.02479050279
MATAM,Matam,2015,Corn,40,60,1.5,572800,0.006983240223
MATAM,Matam,2016,Corn,44,66,1.5,572800,0.007681564246
MATAM,Ranerou,2014,Corn,577,375,0.6499133449,1510080,0.03820989616
MATAM,Ranerou,2015,Corn,1723,689,0.3998839234,1510080,0.1140999152
MATAM,Ranerou,2016,Corn,1895,1675,0.8839050132,1510080,0.1254900403
MATAM,Kanel,2014,Sorghum,532,452,0.8496240602,878610,0.06055018723
MATAM,Kanel,2015,Sorghum,3274,2758,0.8423946243,878610,0.372634047
MATAM,Kanel,2016,Sorghum,3601,778,0.2160510969,878610,0.4098519252
MATAM,Matam,2014,Sorghum,752,263,0.3497340426,572800,0.1312849162
MATAM,Matam,2015,Sorghum,2019,725,0.3590886578,572800,0.3524790503
MATAM,Matam,2016,Sorghum,2221,544,0.2449347141,572800,0.3877444134
MATAM,Ranerou,2014,Sorghum,508,178,0.3503937008,1510080,0.03364060182
MATAM,Ranerou,2015,Sorghum,951,361,0.3796004206,1510080,0.06297679593
MATAM,Ranerou,2016,Sorghum,1046,398,0.3804971319,1510080,0.06926785336
SAINT-LOUIS,SAINT-LOUIS,2014,Arachide,4125,413,0.1001212121,87900,4.692832765
SAINT-LOUIS,SAINT-LOUIS,2015,Arachide,5802,4087,0.7044122716,87900,6.600682594
SAINT-LOUIS,SAINT-LOUIS,2016,Arachide,5872,1932,0.3290190736,87900,6.680318544
SAINT-LOUIS,DAGANA,2014,Arachide,10119,2631,0.2600059294,608700,1.662395269
SAINT-LOUIS,DAGANA,2015,Arachide,6370,1626,0.2552590267,608700,1.046492525
SAINT-LOUIS,DAGANA,2016,Arachide,6447,2740,0.4250038778,608700,1.059142435
SAINT-LOUIS,PODOR,2014,Arachide,0,0,0,1294700,0
SAINT-LOUIS,PODOR,2015,Arachide,0,0,0,1294700,0
SAINT-LOUIS,PODOR,2016,Arachide,0,0,0,1294700,0
SAINT-LOUIS,SAINT-LOUIS,2014,Rice,0,0,0,87900,0
SAINT-LOUIS,SAINT-LOUIS,2015,Rice,64,77,1.203125,87900,0.07281001138
SAINT-LOUIS,SAINT-LOUIS,2016,Rice,0,0,0,87900,0
SAINT-LOUIS,DAGANA,2014,Rice,42667,300803,7.050015234,608700,7.009528503
SAINT-LOUIS,DAGANA,2015,Rice,45600,319200,7,608700,7.491375062
SAINT-LOUIS,DAGANA,2016,Rice,48687,322794,6.629983363,608700,7.998521439
SAINT-LOUIS,PODOR,2014,Rice,12038,19090,1.585811597,1294700,0.9297906851
SAINT-LOUIS,PODOR,2015,Rice,11421,79947,7,1294700,0.8821348575
SAINT-LOUIS,PODOR,2016,Rice,12720,74981,5.894732704,1294700,0.9824669808
SEDHIOU,SEDHIOU,2015,Rice,30589,87179,2.850011442,272614,11.22062697
SEDHIOU,Goudomp,2015,Rice,16726,50178,3,177300,9.433728144
SEDHIOU,Bounkiling,2015,Rice,12950,36908,2.85003861,283000,4.575971731
TAMBACOUNDA,Tamba,2014,Arachide,22000,17600,0.8,2032800,1.082251082
TAMBACOUNDA,Tamba,2015,Arachide,33702,35458,1.052103733,2032800,1.657910272
TAMBACOUNDA,Tamba,2016,Arachide,37650,38139,1.012988048,2032800,1.852125148
TAMBACOUNDA,Goudiry,2014,Arachide,5000,3950,0.79,1609000,0.3107520199
TAMBACOUNDA,Goudiry,2015,Arachide,7382,8961,1.213898672,1609000,0.4587942822
TAMBACOUNDA,Goudiry,2016,Arachide,7471,9294,1.244010173,1609000,0.4643256681
TAMBACOUNDA,Bakel,2014,Arachide,1299,844,0.649730562,629000,0.206518283
TAMBACOUNDA,Bakel,2015,Arachide,2441,2370,0.97091356,629000,0.3880763116
TAMBACOUNDA,Bakel,2016,Arachide,2470,5205,2.107287449,629000,0.3926868045
TAMBACOUNDA,Koumpentoum,2014,Arachide,34000,27200,0.8,673000,5.052005944
TAMBACOUNDA,Koumpentoum,2015,Arachide,46046,47711,1.036159493,673000,6.841901932
TAMBACOUNDA,Koumpentoum,2016,Arachide,51234,49748,0.9709958231,673000,7.612778603
TAMBACOUNDA,Tamba,2014,Rice,1500,3000,2,2032800,0.07378984652
TAMBACOUNDA,Tamba,2015,Rice,860,2365,2.75,2032800,0.04230617867
TAMBACOUNDA,Tamba,2016,Rice,860,1548,1.8,2032800,0.04230617867
TAMBACOUNDA,Goudiry,2014,Rice,193,203,1.051813472,1609000,0.01199502797
TAMBACOUNDA,Goudiry,2015,Rice,530,1458,2.750943396,1609000,0.03293971411
TAMBACOUNDA,Goudiry,2016,Rice,530,1002,1.890566038,1609000,0.03293971411
TAMBACOUNDA,Bakel,2014,Rice,380,2472,6.505263158,629000,0.06041335453
TAMBACOUNDA,Bakel,2015,Rice,400,2800,7,629000,0.06359300477
TAMBACOUNDA,Bakel,2016,Rice,251,1255,5,629000,0.03990461049
TAMBACOUNDA,Koumpentoum,2014,Rice,55,8,0.1454545455,673000,0.008172362556
TAMBACOUNDA,Koumpentoum,2015,Rice,200,220,1.1,673000,0.02971768202
TAMBACOUNDA,Koumpentoum,2016,Rice,200,300,1.5,673000,0.02971768202
THIES,THIES,2014,Arachide,35647,14259,0.4000056106,187300,19.03203417
THIES,THIES,2015,Arachide,26124,26314,1.007273006,187300,13.94767752
THIES,THIES,2016,Arachide,34372,21345,0.6209996509,187300,18.35130806
THIES,Tivaooune,2014,Arachide,25450,10180,0.4,312100,8.15443768
THIES,Tivaooune,2015,Arachide,40900,34520,0.84400978,312100,13.10477411
THIES,Tivaooune,2016,Arachide,55740,41805,0.75,312100,17.85966037
THIES,Mbour,2014,Arachide,18668,3734,0.200021427,160700,11.61667704
THIES,Mbour,2015,Arachide,19517,16687,0.8549982067,160700,12.14499067
THIES,Mbour,2016,Arachide,25668,16684,0.6499922082,160700,15.97261979
THIES,THIES,2016,Rice,30,0,0,187300,0.01601708489
THIES,Tivaooune,2014,Rice,0,0,0,312100,0
THIES,Tivaooune,2015,Rice,0,0,0,312100,0
THIES,Tivaooune,2016,Rice,0,0,0,312100,0
THIES,Mbour,2016,Rice,368,3,0.008152173913,160700,0.2289981332
ZIGUINCHOR,Ziguinchor,2014,Arachide,285,270,0.9473684211,115300,0.2471812663
ZIGUINCHOR,Ziguinchor,2015,Arachide,826,752,0.9104116223,115300,0.7163920208
ZIGUINCHOR,Ziguinchor,2016,Arachide,1578,1499,0.9499366286,115300,1.368603643
ZIGUINCHOR,Bignona,2014,Arachide,9718,8746,0.8999794196,529500,1.835316336
ZIGUINCHOR,Bignona,2015,Arachide,24891,30213,1.213812221,529500,4.700849858
ZIGUINCHOR,Bignona,2016,Arachide,25467,24270,0.9529979974,529500,4.809631728
ZIGUINCHOR,oussouye,2014,Arachide,1835,1138,0.6201634877,89100,2.059483726
ZIGUINCHOR,oussouye,2015,Arachide,1036,832,0.8030888031,89100,1.162738496
ZIGUINCHOR,oussouye,2016,Arachide,1048,842,0.8034351145,89100,1.17620651
ZIGUINCHOR,Ziguinchor,2014,Rice,2435,5510,2.262833676,115300,2.111882047
ZIGUINCHOR,Ziguinchor,2015,Rice,6000,11835,1.9725,115300,5.203816132
ZIGUINCHOR,Ziguinchor,2016,Rice,6000,11 700,0,115300,5.203816132
ZIGUINCHOR,Bignona,2014,Rice,15068,20779,1.379015131,529500,2.845703494
ZIGUINCHOR,Bignona,2015,Rice,16900,39884,2.36,529500,3.191690274
ZIGUINCHOR,Bignona,2016,Rice,16900,25350,1.5,529500,3.191690274
ZIGUINCHOR,oussouye,2014,Rice,4309,6818,1.582269668,89100,4.836139169
ZIGUINCHOR,oussouye,2015,Rice,14500,26999,1.862,89100,16.27384961
ZIGUINCHOR,oussouye,2016,Rice,14500,24650,1.7,89100,16.27384961